sample_id,group,period,channel,keyword,pub_date,content,post_id
1,Court,post,blog,코로나 백신 소송,2026-02-25,"2월 25일 상한가 급등주 정리 제대혈, 백신/진단시약/방역, 애플페이, 영화, 피팅(관이음쇠)/밸브, 코로나19, MLCC, 음원/음반, NFT, 서울고속버스터미널 재개발 수혜, 두 나무, 자전거, HBM 테마 등이 하락률...",021d622cb8b4f0fc
2,FM_Direct,post,news_comment,코로나 백신 이물질,2026-02-26,"[기고]광우병의 분노는 왜 백신의 침묵으로 변했나
그러나 2021년 코로나 백신 이물질 사태와 부작용 논란 앞에서는 기이할 정도의 정적이 감돌았다. 같은 ‘신체적 안전’의 문제임에도 불구하고 진영에 따라 극명하게 갈리는 이중잣대는 대한민국 지성이 도달한...",b4635622ed2f075b
3,FM_Direct,pre,blog,코로나 백신 곰팡이,2026-02-16,"폐렴, 예방과 치료가 중요한 호흡기 질환
바이러스성 폐렴 독감, 코로나바이러스, RSV(호흡기세포융합바이러스) 등다양한 바이러스에 의해... 기타 원인으로는 진균성 폐렴과 흡인성 폐렴이 있는데, 진균성은 곰팡이로 인한 폐렴이며 면역력이 약한...",8f1ae6aaaa925b1d
4,Court,post,blog,코로나 백신 사망 판결,2026-03-06,시진핑에게 있어 이란에 대한 '에픽 퓨리 작전'이 재앙적인... 아야톨라 하메네이가 사망하고 이란의 군사 지도부가 약화되면서 걸프 지역의 전략적 균형은... 코로나19 팬데믹(인간 통제 등) + 부정선거 세계경제포럼 = 중공을 롤 모델로 삼고 찬양  선거를...,93f7187ad69ebb43
5,Chronic,pre,blog,백신 피해자 모임,2026-02-09,"수능 대비 '독서' 지문(EBS)
(과학교사모임) 과학 종교 윤리의 대화 과학 지식은 절대적 진리인가(김보일) 과학 지식의 논리 구조(장회익) 과학과 기술로 본 세계사 강의(제임스 E. 매클랠란 외) 과학과 인간 과학에는 뭔가 특별한 것이...",cbdb03913bcec252
6,Chronic,pre,blog,코로나 백신 피해,2026-02-12,"15분 도시: 기술관료주의의 디지털 강제 수용소
[…] 이 개념은 코로나19 팬데믹 이후 봉쇄와 재택근무로 인해 자동차를 포기하고 편의시설이 잘 갖춰진 지역 사회의 필요성을 인식하게 되면서 크게 확산되었습니다. 이 선전물은 다시 말해 불편한...",62fc1c3f81a279e4
7,FM_Direct,pre,blog,코로나 백신 이물질,2026-02-19,"헬스케어 Part2 바이오의약품(SK바이오팜)
일으키는 이물질입니다. (16:14 - 16:51) 항체: 특정 항원에 반응하여 방어하거나 공격하는... (16:51 - 17:54) mRNA 백신 작동 원리: 코로나19 바이러스 표면에는 '스파이크 단백질'이라는 돌기가 있는데...",71a2ebfde82f9e33
8,FM_Direct,pre,blog,코로나 백신 이물질,2026-02-21,"김포입주청소 건강한 겨울나기: 겨울철 감기 예방 완벽 가이드
감기, 독감, 코로나19와 같은 바이러스성 질환이 기승을 부리는 겨울철, 단순히 약에 의존하기보다... 이 물질은 바이러스의 막을 직접 파괴하는 강력한 방어선 역할을 합니다. 실제로 비타민 D 수치가 부족하면...",40dd4b3f1ed61733
9,Court,post,blog,코로나 백신 소송,2026-03-06,백신에 이물질이나 곰팡이가 들어갈 수도 있어요. 접종자가 할... 바랍니다 코로나19 백신에서 이물질 신고 사례가 있었다는 뉴스가 나오면서 많은 사람들이 걱정합니다.... 행정소송 위 경우 중요한 자료는 다음 세 가지입니다. 1. 접종 기록 2. 진료 기록 3. 전문가 의견 이...,ceaca8012189e2a2
10,Court,pre,blog,백신 피해 법원,2026-01-08,"쿠바는 자국민을 마두로 정권 지지를 위해 죽음으로 내몰면서... 영구적인 코로나 봉쇄부터 백신 여권, 기후 변화 봉쇄, 모든 경제적 자유를 박탈하는 무현금 디지털... 이러한 국제적 음모의 윤곽은 전 세계 국가가 국민을 일률적으로 봉쇄하고, 엄격한 백신 의무화를...",5492bd2da316090a
11,FM_Direct,post,news_comment,감사원 백신,2026-02-23,"방역당국 ""코로나 대응 미흡 감사원 지적 수용…대국민 메시지 일원화""
감사원은 이날 코로나19 대응실태 진단 및 분석 감사결과에 대해 발표하며 팬데믹 상황에서 백신 이물 신고 처리가 제대로 이뤄지지 않았고, 복지부와 질병청이 각각 위기 소통 메시지를 내며 국민에게 혼란이 있었다고...",97cea605e41dc950
12,Court,post,blog,백신 심근경색 판결,2026-03-04,&quot;기저질환 탓이라더니&quot; 코로나 백신 부작용 심근경색과 연관... 안타깝게도 질병관리청은 이번 판결에 불복해서 항소를 결정했다고 해요 아무래도 코로나 백신 부작용 사례 중에서도 심근경색 사망이 인과성으로 인정된 첫 사례이다 보니 정부 입장에서는 기준이 흔들릴까...,91ff15b9a24e6aea
13,Court,post,news,코로나 백신 소송,2026-03-06,"[사설] 법원도 인정한 코로나 백신 사망, 진상 규명은 국가의 의무 서울행정법원이 코로나19 백신 접종 후 열흘 만에 급성 심근경색으로 사망한 40대 공무원 A씨의 유족이 제기한 소송에서 '시간적 밀접성'에 주목해 원고 승소 판결을 내린 것이 최근 알려졌다. 그동안 코로나 백신과...",34a674c917f73613
14,Chronic,pre,news_comment,백신 피해 보상,2026-02-15,"설 연휴 노린 스미싱·피싱 급증...정부 “악성앱·소액결제 피해 주의...
악성 앱에 감염된 것으로 의심되면 모바일 백신 검사 또는 최대한 빨리 서비스센터 방문해 점검을 받아야... 사실관계를 확인 다음 피해보상을 요청하면 된다. 사용자는 악성 앱 감염으로 개인정보가 유출되면 피해자...",8f3b421ab3526e24
15,FM_Direct,post,news_comment,정은경 백신,2026-03-04,"나경원 ""코로나 백신 이상반응 신고에도 접종 안 멈춰…정은경 사퇴하라...
나경원 국민의힘 의원이 4일 코로나19 유행 당시 백신에 대한 정부의 대응을 지적하며, 질병관리청장을 맡았던 정은경 보건복지부 장관의 사퇴를 촉구했다. 나 의원은 ""코로나19 백신을 맞고 피해를 입은 피해자들을...",bae801de66a915a9
16,FM_Direct,pre,blog,코로나 백신 이물질,2026-02-09,"2026.02.09의료계주요뉴스
2026.02.09의료계주요뉴스 (오피니언) 24·25 더블링, 의대생이 말하는 지금 의학교육 현실 출처:대터썰전 https://youtu.be/xAmXfwG4OvM?si=WbhCoSh9cxTd8bOd MEDI:GATE NEWS : 김재혁 전남 권역센터장 응급환자...",99dfb95ac7bdd073
17,Court,pre,blog,코로나 백신 소송,2026-01-11,"독일의 계획 경제로의 전환, 러시아와의 전쟁이 그 원동력이었다 영구적인 코로나 봉쇄부터 백신 여권, 기후 변화 봉쇄, 모든 경제적 자유를 박탈하는 무현금 디지털 화폐 시스템, 사유 재산이 폐지되는 &quot;공유 경제&quot;, AI가 모든 것을 지배하는 4차 산업 혁명, 그리고 자유...",2b87ccf86a97c065
18,Chronic,post,blog,백신 피해 보상,2026-03-02,"7인회 (The Seven) — 시즌 1 : 백신""국가가 당신을... 
지급하는 백신을 설치한 자의 재산과 모든 손해는 국가가 100% 책임을 지겠지만 국가를 믿지 못하고 이 상황을 지켜보거나 백신을 설치하지 아니하며 가짜 뉴스 등을 말하는 자는 국가가 책임을 지지...",f050b9c7ff4d9de1
19,FM_Direct,post,blog,코로나 백신 이물질,2026-03-04,"[핫라인] 코로나 방역 리더 정은경, ‘백신 이물질 관리 부실’... 
[핫라인] 코로나 방역 리더 정은경, ‘백신 이물질 관리 부실’ 감사에 책임론 https://youtu.be/VgOuO3DdJCo?si=wWg4UcZZWPyOIcB4",16121ef5dce602a7
20,FM_Direct,pre,blog,정은경 백신,2026-02-10,"계몽이 필요함.  Feb 10, 2026.
다만 백신관련 일만 정은경에게 말려들지 않길 바란다. 전적으로 공감함// https://www.youtube.com/watch?v=-Z1IcT25L7s 美, 韓 외환보유금 영구 보관?/ 환율협상? CFA 프랑 식민화/ 우정은 친구 사이, 노예에겐...",ddbf8d74b513287d
21,FM_Direct,post,news_comment,코로나 백신 이물질,2026-02-25,"설마 내가 맞은 백신에도 이물질? '로트번호 확인' 온라인서 급확산
최근 쓰레드에는 접종 당시 사용된 백신의 로트번호(제조번호)를 확인하는 방법이 공유되고 있다.쓰레드 이용자는 내가 맞은 코로나 백신 로트번호 확인 방법이라며 질병관리청 '예방접종도우미' 사이트 접속 후...",ab00bcac5d334d42
22,FM_Direct,pre,news_comment,정은경 백신,2026-02-20,"[병원계 소식] 2월 20일
■고려대학교 의과대학 백신혁신센터, 2026 백신전문가 양성 교육 개최 고려대학교 의과대학 백신혁신센터... 보건복지부(장관 정은경)와 노인의료나눔재단이 주관하는 이 사업은 노인복지법 제4조, 노인복지법 제27조의...",0712ecf30ffcb8aa
23,Court,pre,blog,코로나 백신 항소,2026-01-19,"건보공단, 담배회사 533억 손배소 2심도 패소…“1심 위법... 그러면서 원고의 항소를 모두 기각하고 항소 비용을 원고가 부담하도록 했다.&quot; 인과관계에 관한... 오늘이 마침 19일이라서(?) 얘기하자면, 코로나19가 한창 유행이던 당시 국민 대부분이 코로나19 백신을 맞은...",36f1560421bd4139
24,Chronic,post,news_comment,코로나 백신 피해,2026-02-26,"[기고]광우병의 분노는 왜 백신의 침묵으로 변했나
그러나 2021년 코로나 백신 이물질 사태와 부작용 논란 앞에서는 기이할 정도의 정적이 감돌았다. 같은... 반면 2021년에는 백신 바이알 속에서 육안으로 이물질이 발견되고 인명 피해 신고가 잇따랐음에도, 그들은...",4ab613ae84277f91
25,Chronic,post,blog,코로나 백신 정부 책임,2026-02-24,"◆코로나 백신 오염물질 사고~~ 국민 안전을 위협한 관리 실패!!!
속에는 정부가 국민의 신뢰를 다시 회복하기 위해 반드시 고쳐야 할 구조적 문제들이 담겨 있습니다. 5.결론 이번 코로나 백신 오염물질 사고는 단순한 행정 착오가 아니라 백신 안전 관리 체계의 구조적...",f74036ed66797f50
26,Court,pre,blog,코로나 백신 소송,2026-02-07,"트럼프의 공세: 독일, 고위급 검열 사건에서 후퇴 이제 독일 정부는 모든 소송 비용을 부담하게 됩니다. “명백한 풍자 – 명백히 표현의 자유로... 영구적인 코로나 봉쇄부터 백신 여권, 기후 변화 봉쇄, 모든 경제적 자유를 박탈하는 무현금...",bfe4e7d7b91f78ef
27,Court,pre,blog,백신 피해 법원,2026-02-06,"2026.02.06의료계주요뉴스 의료진 떠나고 환자, 구급대원도 피해 볼 것&quot; 지난 달 29일 응급의료법 개정안 발의... 중앙... 내지 피해자에게 수사권 주는 것과 다를 바 없어 https://naver.me/FRopR8rO 의료계 반대 묵살하고 공단...",e0623b671c2b81c5
28,Chronic,post,blog,백신 피해 보상,2026-02-25,"코로나 백신 맞고 부작용, 정부는 보상 거부…법원 ""보상하라""
https://m.blog.naver.com/materia/224132131300 먼저 재판부는 대법원 판례에 따라 백신 부작용 관련 피해보상을 받기 위해 꼭 그 인과관계가 의학적·자연과학적으로 명백히 증명되어야 하는 것은 아니라고...",354b8fb4bc54b68e
